Date,Time,Easting,Northing
2024-09-19,22:20:48.536,472308.0401,6430866.4805
2024-09-19,22:20:50.380,472312.1785,6430866.7016
2024-09-19,22:20:52.210,472316.4051,6430866.1591
2024-09-19,22:20:54.059,472320.5207,6430866.0808
2024-09-19,22:20:55.888,472324.6380,6430866.0559
2024-09-19,22:20:57.732,472328.7469,6430865.6501
2024-09-19,22:20:59.576,472332.8715,6430865.3565
2024-09-19,22:21:01.404,472336.9874,6430865.5632
2024-09-19,22:21:03.246,472341.1187,6430865.1758
2024-09-19,22:21:05.085,472345.2619,6430865.2399
2024-09-19,22:21:06.929,472349.3956,6430864.4972
2024-09-19,22:21:08.796,472353.5843,6430864.7689
2024-09-19,22:21:10.640,472357.7152,6430864.6348
2024-09-19,22:21:12.490,472431.3571,6430867.9405
2024-09-19,22:21:14.364,472366.0901,6430864.3729
2024-09-19,22:21:16.178,472370.1339,6430864.2792
2024-09-19,22:21:18.005,472374.2575,6430864.1145
2024-09-19,22:21:21.689,472382.5215,6430863.8115
2024-09-19,22:21:23.534,472386.6658,6430863.6642
2024-09-19,22:21:25.360,472390.7360,6430863.4137
2024-09-19,22:21:27.201,472394.8611,6430863.1838
2024-09-19,22:21:29.047,472399.0162,6430863.2373
2024-09-19,22:21:30.890,472403.1240,6430862.8974
2024-09-19,22:21:32.727,472407.2539,6430862.7626
2024-09-19,22:21:34.568,472411.3836,6430862.6126
2024-09-19,22:21:36.408,472415.5217,6430862.4117
2024-09-19,22:21:38.254,472419.6553,6430862.5535
2024-09-19,22:21:40.086,472423.7743,6430860.0037
2024-09-19,22:21:41.932,472427.9372,6430861.8546
2024-09-19,22:21:43.788,472432.1285,6430862.0076
2024-09-19,22:21:45.625,472436.2629,6430861.6857
2024-09-19,22:21:47.458,472440.3552,6430862.0850
2024-09-19,22:21:49.285,472444.4714,6430861.4452
2024-09-19,22:21:51.129,472448.5869,6430861.2137
2024-09-19,22:21:52.964,472452.7144,6430861.0697
2024-09-19,22:21:56.627,472460.9328,6430860.6827
2024-09-19,22:21:58.486,472465.1151,6430861.6687
2024-09-19,22:22:00.319,472469.2073,6430860.5241
2024-09-19,22:22:02.164,472473.3829,6430860.1981
2024-09-19,22:22:03.998,472477.4784,6430860.1608
2024-09-19,22:22:05.829,472537.5495,6430862.5472
2024-09-19,22:22:07.705,472485.4408,6430859.6903
2024-09-19,22:22:09.537,472488.8442,6430859.5603
2024-09-19,22:22:13.215,472496.2130,6430859.0733
2024-09-19,22:22:15.051,472500.1483,6430858.5428
2024-09-19,22:22:16.884,472503.9912,6430858.9699
2024-09-19,22:22:18.732,472507.8427,6430858.6216
2024-09-19,22:22:20.565,472511.9699,6430858.4512
2024-09-19,22:22:22.418,472515.8271,6430858.2833
2024-09-19,22:22:24.253,472519.9780,6430858.1112
2024-09-19,22:22:26.097,472524.0007,6430858.1614
2024-09-19,22:22:27.946,472528.2620,6430857.9792
2024-09-19,22:22:29.778,472532.1368,6430857.8713
2024-09-19,22:22:31.636,472536.1034,6430857.7055
2024-09-19,22:22:33.480,472540.2293,6430858.4130
2024-09-19,22:22:35.320,472544.3478,6430857.2065
2024-09-19,22:22:37.160,472548.2771,6430857.9287
2024-09-19,22:22:39.004,472552.3558,6430857.1948
2024-09-19,22:22:40.833,472556.4635,6430856.7961
2024-09-19,22:22:42.670,472560.6008,6430856.4358
2024-09-19,22:22:44.505,472564.7341,6430856.4954
2024-09-19,22:22:48.174,472572.8489,6430856.2276
2024-09-19,22:22:50.015,472576.9598,6430856.1394
2024-09-19,22:22:53.682,472585.1466,6430855.8460
2024-09-19,22:22:55.532,472589.0272,6430855.6196
2024-09-19,22:22:57.372,472592.8672,6430855.2927
2024-09-19,22:22:59.216,472596.9048,6430854.9793
2024-09-19,22:23:01.067,472600.8000,6430855.0381
2024-09-19,22:23:02.909,472604.9278,6430854.7848
2024-09-19,22:23:04.742,472608.9041,6430854.8694
2024-09-19,22:23:06.593,472613.0526,6430854.4933
2024-09-19,22:23:15.256,472632.3573,6430854.6675
2024-09-19,22:23:16.026,472634.0982,6430854.0305
2024-09-19,22:23:19.717,472642.3591,6430853.6958
2024-09-19,22:23:21.575,472646.5374,6430853.5104
2024-09-19,22:23:25.259,472654.7680,6430853.3117
2024-09-19,22:23:27.088,472658.8739,6430853.2986
2024-09-19,22:23:28.933,472729.9897,6430856.0392
2024-09-19,22:23:32.614,472671.2121,6430852.7900
2024-09-19,22:23:34.440,472675.2793,6430852.8954
2024-09-19,22:23:36.282,472679.3947,6430852.5406
2024-09-19,22:23:38.109,472683.5340,6430851.8854
2024-09-19,22:23:39.968,472687.7068,6430851.8489
